player_id,player_name,season,competition_id,competition_name,country_name,age,position,sub_position,nationality,foot,height_in_cm,current_club_id,current_club_name,games_played,season_minutes,minutes_per_game,minutes_volatility,market_value_in_eur,highest_market_value_in_eur
171167,Jairo Samperio,2013-2014,ES1,laliga,Spain,21,Attack,Right Winger,Spain,right,172,39,1. Fußball- und Sportverein Mainz 05,25,1375.0,55.0,32.398765408576914,300000,6000000
192565,Leroy Sané,2020-2021,L1,bundesliga,Germany,25,Attack,Right Winger,Germany,left,183,27,FC Bayern München,32,1805.0,56.40625,27.424737208175763,70000000,100000000
64481,Roland Alberg,2013-2014,NL1,eredivisie,Netherlands,24,Midfield,Attacking Midfield,Suriname,right,180,169,Panionios Athens,26,2107.0,81.03846153846153,19.53592503220427,250000,1500000
170527,Timo Werner,2015-2016,L1,bundesliga,Germany,20,Attack,Left Winger,Germany,right,180,148,Tottenham Hotspur Football Club,33,2197.0,66.57575757575758,27.487771719858426,17000000,80000000
258626,Talisca,2016-2017,TR1,super-lig,Turkey,23,Midfield,Attacking Midfield,Brazil,left,190,114,Beşiktaş Jimnastik Kulübü,22,1761.0,80.04545454545455,14.069558604975603,15000000,28000000
191391,Yusuf Erdoğan,2014-2015,TR1,super-lig,Turkey,23,Attack,Left Winger,Türkiye,left,171,2293,Konyaspor,22,1574.0,71.54545454545455,24.457248921196932,500000,6250000
190633,Ninos Gouriye,2014-2015,NL1,eredivisie,Netherlands,24,Attack,Left Winger,Netherlands,right,178,19657,Vendsyssel FF,23,1020.0,44.34782608695652,30.149783611094815,200000,1000000
96454,Maxime Lestienne,2012-2013,BE1,jupiler-pro-league,Belgium,21,Attack,Left Winger,Belgium,left,176,3057,Royal Standard Club de Liège,28,1865.0,66.60714285714286,30.995782300309234,1000000,10000000
401534,Arthur Gomes,2022-2023,PO1,liga-portugal-bwin,Portugal,25,Attack,Left Winger,Brazil,right,175,121,FK Dinamo Moskva,28,1069.0,38.17857142857143,29.10578436794771,3000000,4000000
448470,André Franco,2021-2022,PO1,liga-portugal-bwin,Portugal,24,Midfield,Attacking Midfield,Portugal,left,177,720,Futebol Clube do Porto,33,2531.0,76.6969696969697,21.751328553620965,3000000,4000000
724520,Abde Ezzalzouli,2022-2023,ES1,laliga,Spain,22,Attack,Left Winger,Morocco,right,177,150,Real Betis Balompié S.A.D.,28,1511.0,53.964285714285715,31.27354215268092,9000000,15000000
419672,Mikhail Ignatov,2022-2023,RU1,premier-liga,Russia,23,Midfield,Attacking Midfield,Russia,right,187,232,FK Spartak Moskva,21,1236.0,58.857142857142854,19.09945328134443,2500000,2800000
166745,Gegam Kadimyan,2014-2015,UKR1,premier-liga,Ukraine,23,Attack,Left Winger,Armenia,right,184,9007,Arsenal Kyiv,21,1333.0,63.476190476190474,28.179051739121736,100000,600000
410225,Ismaïla Sarr,2019-2020,GB1,premier-league,England,22,Attack,Right Winger,Senegal,right,185,873,Crystal Palace Football Club,22,1496.0,68.0,29.33195589052384,18000000,30000000
566723,Michael Olise,2021-2022,GB1,premier-league,England,21,Attack,Right Winger,France,left,184,27,FC Bayern München,26,1135.0,43.65384615384615,33.26344992017088,55000000,55000000
314875,Jarrod Bowen,2020-2021,GB1,premier-league,England,25,Attack,Right Winger,England,left,176,379,West Ham United Football Club,45,3134.0,69.64444444444445,25.912807262952303,50000000,50000000
500689,Evann Guessand,2022-2023,FR1,ligue-1,France,22,Attack,Right Winger,Cote d'Ivoire,right,188,417,Olympique Gymnaste Club Nice Côte d'Azur,30,1257.0,41.9,29.452051428267833,8000000,8000000
240306,Bruno Fernandes,2015-2016,IT1,serie-a,Italy,22,Midfield,Attacking Midfield,Portugal,right,179,985,Manchester United Football Club,31,2120.0,68.38709677419355,24.598291862221284,70000000,90000000
88755,Kevin De Bruyne,2014-2015,EL,europa-league,,24,Midfield,Attacking Midfield,Belgium,right,181,281,Manchester City Football Club,11,981.0,89.18181818181819,1.7486712783337601,50000000,150000000
393239,Mitchell van Bergen,2021-2022,FR1,ligue-1,France,23,Attack,Right Winger,Netherlands,right,170,317,Football Club Twente,20,984.0,49.2,21.912553479683744,900000,4000000
398065,Harvey Barnes,2018-2019,GB1,premier-league,England,22,Attack,Left Winger,England,right,182,762,Newcastle United Football Club,16,1009.0,63.0625,26.86184270950152,35000000,35000000
339820,Amath Ndiaye,2017-2018,ES1,laliga,Spain,22,Attack,Right Winger,Senegal,right,173,237,Real Club Deportivo Mallorca S.A.D.,37,2884.0,77.94594594594595,13.832874954635848,1500000,5000000
76749,Tabaré Viúdez,2012-2013,TR1,super-lig,Turkey,24,Attack,Right Winger,Uruguay,right,169,10484,Kasımpaşa A.Ş.,23,1378.0,59.91304347826087,29.370072083934367,150000,5000000
262688,Aminu Umar,2016-2017,TR1,super-lig,Turkey,22,Attack,Left Winger,Nigeria,right,174,126,Çaykur Rizespor Kulübü,25,1907.0,76.28,22.16757993106149,175000,4750000
323740,Aitor Cantalapiedra,2020-2021,GR1,super-league-1,Greece,25,Attack,Right Winger,Spain,left,177,265,Panathinaikos Athlitikos Omilos,17,953.0,56.05882352941177,27.85565860400676,1800000,2500000
353399,Romain Del Castillo,2018-2019,FR1,ligue-1,France,23,Attack,Right Winger,France,left,172,3911,Stade brestois 29,29,1338.0,46.13793103448276,32.69052814198847,10000000,10000000
667914,Paul Mukairu,2020-2021,BE1,jupiler-pro-league,Belgium,21,Attack,Left Winger,Nigeria,right,182,190,Football Club København,23,1274.0,55.391304347826086,30.484121498184393,700000,3000000
286297,Lorenzo Pellegrini,2015-2016,IT1,serie-a,Italy,20,Midfield,Attacking Midfield,Italy,right,186,12,Associazione Sportiva Roma,19,1152.0,60.63157894736842,31.194146762554144,25000000,45000000
467232,Arbnor Mucolli,2020-2021,DK1,superligaen,Denmark,22,Attack,Left Winger,Albania,left,175,443,Vejle Boldklub,17,1097.0,64.52941176470588,23.544994839815118,1200000,1200000
217033,Aleksey Sutormin,2018-2019,RU1,premier-liga,Russia,25,Attack,Right Winger,Russia,right,188,964,AO FK Zenit Sankt-Peterburg,29,2514.0,86.6896551724138,7.593570094339401,1200000,3500000
